author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
冥王府逍遥,24599,1880,24027,86469654,52509,73,影视,612,968351,2183,"影视混剪,超级英雄,全能打卡挑战,漫威,复仇者联盟,影视剪辑,电影,影视剪影,剪辑,混剪,电影剪辑",建 议 必 火,544453
黑夜地孩子,40153,7345,25654,88265208,56449,72,影视,96,987749,1390,"星海,中国,历史,热血,国家,英雄,中国军人,电影剪辑,电影",【超燃/催泪】  中国人，你惹不起！,409097
回魂斜阳,51123,5329,24643,92532090,45963,71,影视,1625,995529,2529,"影评,科幻,全能打卡挑战,剧情,恐怖,异形,电影剪辑,电影解说,搞笑,影评杂谈",完整了解《异形》电影宇宙！真正破解异形原理（推理向）,409770
老熊ooo,93924,18798,376565,46644313,220555,70,影视,6838,997122,58806,"短片,激励,励志短片,励志,生活",【励志短片】别懒惰久了，努力一下便以为是拼命?,3216543
刘老师说电影,57455,30603,12620,93130246,132423,69,影视,13044,1024966,5127,"肖战,诛仙,刘老师说电影,李沁,全能打卡挑战,吐槽,孟美岐,唐艺昕,搞笑",【刘老师】逆天吐槽强势入围金扫帚5项大奖的古装奇幻电影《诛仙Ⅰ》,1295985
史蒂芬周大反派,36786,5996,16526,87067414,61879,68,影视,2011,1027207,3877,"影评,科幻,SCP基金会,超级英雄,神秘博士,scp-173,BBC,英剧,惊悚,电影解说,恐怖,DOCTORWHO",它比173更恐怖！告诉你这个怪物有多强！高分英剧《神秘博士》剧情解读！,1031213
入了夜_,11856,913,35318,88963088,33004,67,影视,1637,1032815,6405,"复生,SIREN,英剧,爱情,欧美,IN THE FLESH,影视剪辑,高颜值",【冷剧安利|复生】世界不容我辈，还有彼此可依偎 |“告诉我你想要什么，我会不惜一切双手奉上”【In The Flesh】,336826
Director鹤唳云端,646841,57491,690881,66583807,530214,66,影视,14047,1036706,158796,"国家宝藏,影视混剪,历史,中国,中国历史年表,历史的拐点,影视剪辑,震撼,剪辑,战争,混剪",史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,4855830
陈杰瑞JerryChen,41881,863,33399,85447142,41254,65,影视,737,1040534,4297,"影视混剪,小丑,全能打卡挑战,剪辑,电影剪辑,混剪,电影混剪","【小丑/台词/爆发】KNOCK-KNOCK · 咚咚 只有我这么觉得, 还是这个世界越来越疯狂 ( 赠鸡翅yang )",294925
霍顿,33614,30644,14722,88555998,150095,64,影视,2718,1044681,8846,"童年回忆杀,盘点排行,互动视频,张伟,爱情公寓,测试,童年,搞笑,盘点,沙雕",十道题让你怀疑你从没看过《爱情公寓》！,1621124
子彧星塵,22880,2288,25099,89623306,109852,63,影视,729,1054294,3295,"萌宠,童年回忆杀,搞笑,影视混剪,罗小黑战记,迪士尼,魔性,混剪,抖腿,搞笑视频,哪吒之魔童降世,沙雕",【每天一遍，防止抑郁】欢迎白嫖，抖就完事了！,763697
Epic丶狼叔,21781,812,35514,91329738,35360,62,影视,644,1071419,2689,"影视混剪,影视剪辑,迪士尼,剪辑,欧美,电影剪辑,爱情,唯美,混剪,美剧,欧美电影",【迪士尼/唯美混剪/震撼】你不必为了取悦他人而活着,337084
熊猫精彩视频分享,21709,2405,26799,86782659,53007,61,影视,2763,1095451,14591,"电影,陈意涵,彭于晏,爱情片",双方都以为对方是聋哑人，然后发生了一段美妙的爱情，电影《听说》,753056
不会混剪的萌,15048,7302,32781,90022538,54004,60,影视,1293,1102845,3934,"影视混剪,梦想,bilibili新星计划,影视剪辑,学习,混剪,电影,电影剪辑,考研,剪辑,励志",你的努力值得拥有你想要的一切祝你梦想成真【高燃励志混剪】,539146
咪鸿Miang,28725,6439,42196,86162970,39440,59,影视,1240,1119896,9649,"任嘉伦,谭松韵,六元一斤虾,陆绎,袁今夏,全能打卡挑战",【绎夏｜台词治愈向】双视角｜今生已不再寻觅，是我在做多情种｜一下夫妇｜六元一斤虾｜陆绎袁今夏｜任嘉伦谭松韵｜,355525
-芊芊姑娘-,16249,5729,24418,85146004,92256,58,影视,1528,1121395,11842,"三国演义,少年派,影视鉴评挑战,影视剪辑,电视剧,读书,高能,影视剪影,电视剧剪辑,搞笑",一个视频告诉你读书和不读书的差别！太真实了！,1131676
在下炮儿,11613,11880,27223,92280784,46817,57,影视,4788,1161731,7173,"明星,迪丽热巴,郑爽,刘亦菲,杨幂,杨超越,赵丽颖,鞠婧祎,周雨彤,诸葛大力,全能打卡挑战","每天一遍,告别初恋。来感受一下中国各省份52名女星的盛世美颜吧",1274855
锦书致南辞,21927,1214,28458,88752367,39399,56,影视,2311,1162127,5451,"全能打卡挑战,人生,电影剪辑,社会,真实,催泪向,丧,致郁,虐心,现实",“你都30岁了”,858356
Anti-General,57230,1002,66761,85241895,70812,55,影视,1428,1166899,10938,"短片,科幻,赛博朋克,CYBERPUNK",赛博朋克山海经,886625
熊妹唧唧歪,53595,8699,20495,90084958,113634,54,影视,7210,1198752,8124,"穿山甲,保护野生动物,野生动物,环保,新冠状病毒,电影解说",我除了可爱一无所有，不好吃还有毒，治不了你的病没准还致命,1361992
